Exchange,Wallet,Address,Balance_XRP,Unique_Tags,Tagged_TX,Tag_Rate
coinbase,Coinbase (Cold 43),rs4qVgzVsYTeTv9Fh5URf6CDeNn22AxXax,10,1,88,95.7%
coinbase,Coinbase (Cold 135),rUFDke2TLvmLQaAH6LZYmURAfQ1SCQDSLt,10,1,77,98.7%
coinbase,Coinbase (Cold 321),rJUkHKXn7fonFnYs5aP1igXZ3Y1xzKB1,0,0,0,N/A
coinbase,Coinbase (Cold 298),rL2kYqQW7BThQrEVzf1SgohWnXV7adWfqf,10,1,72,98.6%
coinbase,Coinbase (Cold 74),rHvCuXyoLzurq45ZNy91kzDmGJLqjf42Z8,10,1,73,98.6%
coinbase,Coinbase (Cold 31),r4VDPsS5yatqpkdBoJxNWh3TWWXTnmR62r,10,1,73,91.2%
coinbase,Coinbase (Cold 395),rQrYaxwU6vFvA37maEVcs1hLGgxFDxaKZn,10,1,72,98.6%
coinbase,Coinbase (Cold 136),raon8BEsrawPug1yEs8ChX4ccEC4bhbEbw,10,1,87,98.9%
coinbase,Coinbase (Cold 181),rNqCrZDNfW3apqmrk94AuAdy35eW5jB2pP,10,1,65,98.5%
coinbase,Coinbase (Cold 409),rfJL7vFfPsXLhjTctNJJf443tASrrs1Nap,10,1,65,98.5%
coinbase,Coinbase (Cold 300),rME6BCc8wFqLFtD6yGDMChPEpChN59VCym,10,1,76,98.7%
coinbase,Coinbase (Cold 187),rNx5iPejwegrf6CXgWNsZMGXgj4C2e2QGo,10,1,88,98.9%
coinbase,Coinbase (Cold 403),r4pUXa53aRzH11u2ZrPLk1tuM5mFayXwZM,10,1,74,98.7%
coinbase,Coinbase (Cold 141),rKrur5amu1cx5ZMdfZ7QdwTLyQta7dXzWW,10,1,76,98.7%
coinbase,Coinbase (Cold 233),rhDUYzz8faQi1NkAkD4UqPGhHVtMML4uY1,10,2,74,98.7%
coinbase,Coinbase (Cold 143),rH2JhAxcApv8tEJa62jzGZFYgf77NduFDP,10,1,58,98.3%
coinbase,Coinbase (Cold 247),rp8XdQLjn41ao7CNHyorP4hS8fbPbACoEw,10,1,67,98.5%
coinbase,Coinbase (Cold 384),rJT8GJhJaiugYSgZW6HuZmaGXYKudNXFbw,10,1,71,98.6%
coinbase,Coinbase (Cold 124),rsXm9nBire6zqajappuFPLJuydvHDuqz8g,10,1,74,98.7%
coinbase,Coinbase (Cold 157),rhhJhWUpU7A1enRxKAmWqyV5c9Y1xrVQTm,10,1,72,98.6%
coinbase,Coinbase (Cold 302),rPQmWocoQACFezEbQmmcRPSEhRxqp1Ksz9,10,1,72,98.6%
coinbase,Coinbase (Cold 438),rGCc2ah3xtnizjpH3gd2wQm6R837eaULa4,10,1,67,98.5%
coinbase,CoinbaseCold366,r9ZMdQ63S8NvgdCyLpfhkdbWDfQ57eKD9c,10,2,46,92.0%
coinbase,Coinbase cbXRP (6),rUf5QkXtwVr9XxCdVhn1pFN7ZyMwGhN5Ng,9158095,18,35,89.7%
coinbase,Coinbase cbXRP,rLRDoTHU6sAdXR7HA1iYdBAvWYcHXn4GBW,9158095,15,29,96.7%
coinbase,Coinbase cbXRP,r41Jx7vxzTaXH7nK3P53zUjm4owTdPE2CR,8877011,13,24,96.0%
coinbase,Coinbase cbXRP,rGpqh1aMFFhuB6fsUuvPXjmgvthFtaM8fQ,9042040,13,25,96.2%
coinbase,Coinbase cbXRP,r3YxGciPmY3HyobVEN8gfmMHDxqHFmU3wU,8344985,20,38,97.4%
coinbase,Coinbase cbXRP,rU1DGbMWhrFSJLPcrtKuV5iPyD1wrVgeaU,2307870,0,0,0.0%
coinbase,Coinbase cbXRP,rGsMk4nK4M8MtcjVbjUeaJBppjjKpXyJ7F,44385,293,392,98.7%
coinbase,Coinbase cbXRP,rMbVVXFHaBpSpJhdR1xvy7dkQL1gtnkopg,10,17,31,100.0%
coinbase,Coinbase cbXRP,rKopBmtBSMmUD6NCFNwGTG3b9ZxNzf7Tt4,10,10,17,100.0%
coinbase,Coinbase cbXRP,rGoZhmTeMo4Ew7aKQyJaHCA4LbcDo83fRK,10,9,15,100.0%
coinbase,Coinbase cbXRP,rJUkgjvo3P7qXw8nh6ctHJfGwEoBrRyqhx,10,18,34,97.1%
coinbase,Coinbase cbXRP,rPLrMQu2RozGABz6FHNaBHkrNLeTThKwNd,10,4,5,100.0%
coinbase,Coinbase cbXRP,rscyTNHsx52vxVVNb3CvCFyRQMfLtEPYRt,10,14,26,100.0%
coinone,Coinone1,rp2diYfVtpbgEMyaoWnuaWgFCAkqCAEg28,6576,227,480,100.0%
coinone,Coinone2,rPsmHDMkheWZvbAkTA8A9bVnUdadPn7XBK,53,1,9,90.0%
coinone,Coinone3,rhuCPEoLFYbpbwyhXioSumPKrnfCi3AXJZ,15235640,0,0,0.0%
coinone,Coinone4,rMksM39efoP4XyAqEjzFUEowwnVbQTh6KW,12,1,3,12.5%
coinone,Coinone5,rDKw32dPXHfoeGoD3kVtm76ia1WbxYtU7D,300250979,4,8,9.5%
coinjar,Coinjar,rPvKH3CoiKnne5wAYphhsWgqAEMf1tRAE7,27501454,56,430,100.0%
crypto.com,Crypto.com 1,r4DymtkgUAh2wqRxVfdd3Xtswzim6eC6c5,13744685,0,0,N/A
crypto.com,Crypto.com 2,rPHNKf25y3aqATYfrMv9LQnTRHQUYELXfn,104,77,576,98.6%
crypto.com,Crypto.com 3,rJmXYcKCGJSayp4sAdp6Eo4CdSFtDVv7WG,1462,2,800,100.0%
crypto.com,Crypto.com 4,rKNwXQh9GMjaU8uTqKLECsqyib47g5dMvo,332081364,498,795,100.0%
crypto.com,Crypto Exchange,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,2638,3,799,99.9%
Doppler Finance,Doppler Finance 1,rprFy94qJB5riJpMmnPDp3ttmVKfcrFiuq,3010780,1,785,100.0%
Doppler Finance,Doppler Finance 2,rEPQxsSVER2r4HeVR4APrVCB45K68rqgp2,131,150,156,34.1%
firi,Firi3,rJJqEefks9dewe9W7Q2g7yKFFT1zsPxw8J,1017071,36,661,98.8%
firi,Firi4,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,62685976,38,40,95.2%
etoro,eToro1,rsdvR9WZzKszBogBJrpLPE64WWyEW4ffzS,1634535,1,2,100.0%
etoro,eToro2,raQ9yYPNDQwyeqAAX9xJgjjQ7wUtLxJ5JV,20,0,0,0.0%
etoro,eToro3,rBMe3zVBLgeh2QN4CeX6B17zwbcN6JEmZB,20,1,8,3.7%
etoro,eToro4,rEvwSpejhGTbdAXbxRTpGAzPBQkBRZxN5s,479949318,15,17,10.2%
etoro,eToro5,rM9EyDmjxeukZGT6wfkxncqeM3ABJsro3a,1,125,343,87.9%
gate.io,Gate.io 1,rHcFoo6a9qT5NHiVn1THQRhsEGcxtYCV4d,17073853,298,459,100.0%
gate.io,Gate.io 2,rLzxZuZuAHM7k3FzfmhGkXVwScM4QSxoY7,6000000,3,5,10.6%
gate.io,Gate.io 3,rNnWmrc1EtNRe5SEQEs9pFibcjhpvAiVKF,6000000,2,2,4.8%
gate.io,Gate.io 4,rNu9U5sSouNoFunHp9e9trsLV6pvsSf54z,19923000,1,2,4.3%
gemini,Gemini1,raBQUYdAhnnojJQ6Xi3eXztZ74ot24RDq1,2536018,36,57,100.0%
gemini,Gemini2,raq2gccLh11AwvBrpYcHntUTv4xQNRpyyG,53,1,6,50.0%
gemini,Gemini3,rBYpyCjNwBDQFrgEdVfyosSgQS6iL6sTHe,2,1,1,0.6%
kraken,Kraken1,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,68806,453,789,100.0%
kraken,Kraken2,rUeDDFNp2q7Ymvyv75hFGC8DAcygVyJbNF,21,147,176,92.6%
kraken,Kraken3,rGZjPjMkfhAqmc1ssEiT753uAgyftHRo2m,20,1,1,5.3%
kraken,Kraken4,rp7TCczQuQo61dUo1oAgwdpRxLrA8vDaNV,5,10,65,94.2%
kraken,Kraken5,rEvuKRoEbZSbM5k5Qe5eTD9BixZXsfkxHf,47344200,182,273,99.6%
kraken,Kraken6,rnJrjec2vrTJAAQUTMTjj7U6xdXrk9N4mT,41119606,234,234,58.4%
kraken,Kraken7,rHapXGCL7KXTovvpEqLfDiZ6WV7vMhPWGJ,10,3,4,36.4%
KuCoin,Kucoin11,rLpvuHZFE46NUyZH5XaMvmYRJZF7aory7t,605080,185,185,33.1%
KuCoin,Kucoin5,rNFugeoj3ZN8Wv6xhuLegUBBPXKCyWLRkB,11466,49,524,100.0%
KuCoin,Kucoin7,rBxszqhQkhPALtkSpGuVeqR6hNtZ8xTH3T,11,20,27,7.4%
KuCoin,Kucoin8,rp4gqz1XdqMsWRZbzPdPAQWw1tg5LuwUVP,119,1,1,0.5%
luno,Luno1,rsRy14FvipgqudiGmptJBhr1RtpsgfzKMM,5361,474,716,100.0%
luno,Luno2,rsbfd5ZYWqy6XXf6hndPbRjDAzfmWc1CeQ,9660586,2,54,100.0%
mexc,Mexc,rs2dgzYeqYqsk8bvkQR5YPyqsXYcA24MP2,5010130,279,358,100.0%
mercadobitcoin,Mercado Bitcoin 1,rnW8je5SsuFjkMSWkgfXvqZH3gLTpXxfFH,1648480,153,388,100.0%
mercadobitcoin,Mercado Bitcoin 3,rPEPYN8sHU3cytBwVm69qPbVztaoj7wNf,19223636,12,13,32.5%
okx,Okx,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,21,165,685,100.0%
paribu,Paribu 1,rKdDdrbU3MedsG7VtBAir4RjC35tzjDZnr,92,40,472,99.8%
paribu,Paribu 2,rHWcuuZoFvDS6gNbmHSdpb7u1hZzxvCoMt,41545,65,732,99.3%
paribu,Paribu 3,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,11,13,34,94.4%
tradeogre,TradeOgre,rhsZa1NR9GqA7NtQjDe5HtYWZxPAZ4oGrE,50262,73,140,100.0%
uphold,Uphold2,rQrQMKhcw3WnptGeWiYSwX5Tz3otyJqPnq,6068,29,361,100.0%
uphold,Uphold3,rMdG3ju8pgyVh29ELPWaDuA74CpWW6Fxns,2293242,8,168,100.0%
uphold,Uphold4,rBEc94rUFfLfTDwwGN7rQGBHc883c2QHhx,145634596,19,22,36.1%
uphold,Uphold8,rsX8cp4aj9grKVD9V1K2ouUBXgYsjgUtBL,75,1,574,98.6%
uphold,Uphold9,rErKXcbZj9BKEMih6eH6ExvBoHn9XLnTWe,4489815,0,0,0.0%
uphold,Uphold11,rKe7pZPwdKEubmEDCAu9djJVsQfK4Atmzr,10,11,28,52.8%
uphold,uphold12,rsXT3AQqhHDusFs3nQQuwcA1yXRLZJAXKw,1486079706,386,490,96.8%
upbit,Upbit1,raQwCVAJVqjrVm1Nj5SFRcX8i22BhdC9WA,79824,442,799,100.0%
upbit,Upbit12,rfL1mn4VTCoHdhHhHMwqpShCFUaDBRk6Z5,500000112,10,12,63.2%
upbit,Upbit13,rwa7YXssGVAL9yPKw6QJtCen2UqZbRQqpM,500000110,11,12,66.7%
upbit,Upbit14,rNcAdhSLXBrJ3aZUq22HaNtNEPpB5fR8Ri,500000070,45,60,90.9%
upbit,Upbit15,r38a3PtqW3M7LRESgaR4dyHjg3AxAmiZCt,500000022,8,8,80.0%
upbit,Upbit16,rMNUAfSz2spLEbaBwPnGtxTzZCajJifnzH,500000022,7,9,81.8%
upbit,Upbit17,rJWbw1u3oDDRcYLFqiWFjhGWRKVcBAWdgp,500000022,9,11,84.6%
upbit,Upbit18,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,500000022,31,34,94.4%
upbit,Upbit19,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,500000022,10,304,99.3%
upbit,Upbit20,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,500000022,10,12,85.7%
upbit,Upbit21,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,500000023,25,32,88.9%
upbit,Upbit22,rDxJNbV23mu9xsWoQHoBqZQvc77YcbJXwb,1463561418,0,0,0.0%
upbit,Upbit23,rHHQeqjz2QyNj1DVoAbcvfaKLv7RxpHMNE,1528,3,4,50.0%
sbi,SBI VC TRADE 4,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,83928881,1,625,88.5%
sbi,SBI VC Trade 5,raSZXZApFg7Nj1B5G6BnhoL6HcTqVMopJ3,69708,0,0,0.0%
sbi,SBI VC Trade 6,r39uEuRjzLaSgvkjTfcejodbSrXLM3cYnX,721,0,0,0.0%
sbi,SBI VC Trade 1,rDDyH5nfvozKZQCwiBrWfcE528sWsBPWET,1,104,460,100.0%
sbi,SBI VC Trade 2,rKcVYzVK1f4PhRFjLhWP7QmteG5FpPgRub,37,404,533,100.0%
sbi,SBI VC Trade 3,rUaESVd1yLMy5VyoJvwwuqE8ZiCb2PEqBR,4135,333,712,100.0%
stake,Stake1,rnqZnvzoJjdg7n1P9pmumJ7FQ5wxNH3gYC,4132949,380,619,99.4%
stake,Stake2,razLtrbzXVXYvViLqUKLh8YenGLJid9ZTW,6209423,135,600,100.0%
stake,Stake3,rBA7oBScBPccjDcemGhkmCY82v2ZeLa2K2f,0,0,0,N/A
stake,Stake4,rBndy89HdamJ3UHNekAS6ALjW9WoCE2W5s,3466795,228,668,99.6%
korbit,Korbit1,rBTjeJu1Rvnbq476Y7PDnvnXUeERV9CxEQ,61,180,792,100.0%
korbit,Korbit2,rJRarS792K6LTqHsFkZGzM1Ue6G8jZ2AfK,72687,3,610,100.0%
korbit,Korbit3,rGU8q9qNCCQG2eMgJpLJJ1YFF5JAbntqau,20,3,644,100.0%
korbit,Korbit4,r9WGxuEbUSh3ziYt34mBRViPbqVxZmwsu3,78803,3,4,100.0%
korbit,Korbit5,rNWWbLxbZRKd51NNZCEjoSNovrrx7yiPyt,159301,190,792,100.0%
korbit,Korbit6,rGq74nAmw1ARejUNLYEBGxiQBaoNtryEe9,25629,2,31,96.9%
korbit,Korbit7,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,1,10,303,94.4%
korbit,Korbit8,rwnXZEUe7o29SPcWZwnZukR8fdXmFMWHAN,16,1,12,38.7%
swissbirg,SwissBirg 3,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,5,4,799,100.0%
virtune,Virtune,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,67886573,25,25,3.8%
Evernorth,Evernorth1,rsT3yYMkuicxW1hYsy787mg5XHhkz2uQRk,45620882,61,109,99.1%
Evernorth,Evernorth2,rKXXrAgpkHQN8m4HxAQCYmDCPPUByc9mVq,42263815,1,2,66.7%
Evernorth,Evernorth3,rKhjV48GdbgxAAfSvusqGNktGwAxnzzXpv,46280909,1,4,80.0%
Evernorth,Evernorth4,rGJBNGkDeRPNvNJCi57Ht1ncdht9SuctLe,45995777,3,5,83.3%
Evernorth,Evernorth5,rJX1qoSGYmx5NWJEpsBGKvxmYpGR7mDtop,45730767,1,4,80.0%
Evernorth,Evernorth6,rJuyHPDFpfeVhxfxZboTf7BYu1ptGus1v3,42560592,1,2,50.0%
Evernorth,Evernorth7,rUgQciCPP1AiwQ9f5zstYu9RzVfsKQRGc2,35730243,1,2,50.0%
Evernorth,Evernorth8,rPhQdyEaz4kcSoYKTAQhvkvdYxWKKw2vSC,42263823,1,2,66.7%
Evernorth,Evernorth9,rGy4zJtGfGtF7dtjZmBraQTcfZSQgwqpaa,42263823,1,2,66.7%
